impression_id,campaign_id,date,impressions,clicks,ctr,spend_usd
IMP-C001-20240203,C001,2024-02-03,5648,134,0.023769,272.53
IMP-C001-20240204,C001,2024-02-04,5485,180,0.032966,380.09
IMP-C001-20240205,C001,2024-02-05,6606,484,0.073293,550.0
IMP-C001-20240206,C001,2024-02-06,6386,280,0.043883,443.62
IMP-C001-20240207,C001,2024-02-07,5960,273,0.045903,550.0
IMP-C001-20240208,C001,2024-02-08,5711,282,0.049523,550.0
IMP-C001-20240209,C001,2024-02-09,4246,263,0.062142,550.0
IMP-C001-20240210,C001,2024-02-10,7186,225,0.031359,550.0
IMP-C001-20240211,C001,2024-02-11,3897,209,0.053803,550.0
IMP-C001-20240212,C001,2024-02-12,4514,164,0.036506,359.14
IMP-C001-20240213,C001,2024-02-13,5244,114,0.02174,248.58
IMP-C001-20240214,C001,2024-02-14,4406,229,0.052104,431.48
IMP-C001-20240215,C001,2024-02-15,8324,276,0.033251,550.0
IMP-C001-20240216,C001,2024-02-16,7220,191,0.026537,425.59
IMP-C001-20240217,C001,2024-02-17,7960,166,0.020888,367.75
IMP-C001-20240218,C001,2024-02-18,6389,362,0.056727,550.0
IMP-C001-20240219,C001,2024-02-19,4019,212,0.052829,476.81
IMP-C001-20240220,C001,2024-02-20,6375,320,0.050197,550.0
IMP-C001-20240221,C001,2024-02-21,6348,313,0.049396,550.0
IMP-C001-20240222,C001,2024-02-22,8798,458,0.052107,550.0
IMP-C001-20240223,C001,2024-02-23,6984,212,0.03038,507.98
IMP-C001-20240224,C001,2024-02-24,7737,252,0.03269,550.0
IMP-C001-20240225,C001,2024-02-25,6619,379,0.057331,550.0
IMP-C001-20240226,C001,2024-02-26,5631,189,0.033694,357.8
IMP-C001-20240227,C001,2024-02-27,4776,209,0.043843,472.83
IMP-C001-20240228,C001,2024-02-28,6415,368,0.057408,550.0
IMP-C001-20240229,C001,2024-02-29,8180,335,0.04103,550.0
IMP-C001-20240301,C001,2024-03-01,7632,245,0.032143,450.49
IMP-C001-20240302,C001,2024-03-02,7396,308,0.041648,550.0
IMP-C001-20240303,C001,2024-03-03,7380,324,0.043908,550.0
IMP-C001-20240304,C001,2024-03-04,4100,157,0.038302,379.46
IMP-C001-20240305,C001,2024-03-05,6953,182,0.026314,402.58
IMP-C001-20240306,C001,2024-03-06,7235,229,0.031742,505.2
IMP-C001-20240307,C001,2024-03-07,6696,186,0.027855,421.72
IMP-C001-20240308,C001,2024-03-08,7525,460,0.061246,550.0
IMP-C001-20240309,C001,2024-03-09,4326,133,0.030933,307.83
IMP-C001-20240310,C001,2024-03-10,7447,392,0.052726,550.0
IMP-C001-20240311,C001,2024-03-11,7541,467,0.062033,550.0
IMP-C001-20240312,C001,2024-03-12,7674,309,0.040271,550.0
IMP-C001-20240313,C001,2024-03-13,5324,220,0.041448,443.17
IMP-C001-20240314,C001,2024-03-14,6735,536,0.07972,550.0
IMP-C001-20240315,C001,2024-03-15,7732,160,0.020809,322.95
IMP-C001-20240316,C001,2024-03-16,8396,385,0.045964,550.0
IMP-C001-20240317,C001,2024-03-17,5419,299,0.055194,550.0
IMP-C001-20240318,C001,2024-03-18,6957,317,0.045684,550.0
IMP-C001-20240319,C001,2024-03-19,10137,552,0.054509,550.0
IMP-C001-20240320,C001,2024-03-20,6907,242,0.035073,550.0
IMP-C001-20240321,C001,2024-03-21,5292,229,0.043279,529.33
IMP-C001-20240322,C001,2024-03-22,8028,216,0.026996,444.88
IMP-C001-20240323,C001,2024-03-23,5816,204,0.0352,548.69
IMP-C001-20240324,C001,2024-03-24,7268,189,0.026087,460.28
IMP-C001-20240325,C001,2024-03-25,10101,610,0.060487,550.0
IMP-C001-20240326,C001,2024-03-26,5801,371,0.064004,550.0
IMP-C001-20240327,C001,2024-03-27,7332,415,0.05662,550.0
IMP-C001-20240328,C001,2024-03-28,6501,32,0.005,59.29
IMP-C001-20240329,C001,2024-03-29,6183,162,0.026283,429.26
IMP-C001-20240330,C001,2024-03-30,4240,162,0.038399,356.27
IMP-C001-20240331,C001,2024-03-31,8978,210,0.023462,526.88
IMP-C001-20240401,C001,2024-04-01,6616,200,0.030277,459.73
IMP-C001-20240402,C001,2024-04-02,6928,249,0.035997,543.05
IMP-C001-20240403,C001,2024-04-03,5964,278,0.046703,550.0
IMP-C001-20240404,C001,2024-04-04,9216,243,0.026433,550.0
IMP-C001-20240405,C001,2024-04-05,3379,144,0.042723,336.46
IMP-C001-20240406,C001,2024-04-06,7063,251,0.03566,526.49
IMP-C001-20240407,C001,2024-04-07,5786,209,0.03616,504.71
IMP-C001-20240408,C001,2024-04-08,7189,248,0.034606,550.0
IMP-C001-20240409,C001,2024-04-09,7107,406,0.057193,550.0
IMP-C001-20240410,C001,2024-04-10,5232,191,0.036597,455.38
IMP-C001-20240411,C001,2024-04-11,7607,339,0.044686,550.0
IMP-C001-20240412,C001,2024-04-12,8708,314,0.036126,550.0
IMP-C001-20240413,C001,2024-04-13,6266,261,0.041735,550.0
IMP-C001-20240414,C001,2024-04-14,7961,455,0.057203,550.0
IMP-C001-20240415,C001,2024-04-15,6634,366,0.055229,550.0
IMP-C001-20240416,C001,2024-04-16,7134,307,0.043048,550.0
IMP-C001-20240417,C001,2024-04-17,7582,248,0.032727,550.0
IMP-C001-20240418,C001,2024-04-18,4940,132,0.026787,330.98
IMP-C001-20240419,C001,2024-04-19,7906,429,0.054362,550.0
IMP-C001-20240420,C001,2024-04-20,6579,207,0.031541,451.83
IMP-C001-20240421,C001,2024-04-21,5482,326,0.059627,550.0
IMP-C001-20240422,C001,2024-04-22,5237,210,0.040179,479.61
IMP-C001-20240423,C001,2024-04-23,5669,185,0.032667,413.12
IMP-C001-20240424,C001,2024-04-24,7004,261,0.037396,526.88
IMP-C001-20240425,C001,2024-04-25,6982,162,0.023279,281.52
IMP-C001-20240426,C001,2024-04-26,5414,226,0.041798,509.24
IMP-C001-20240427,C001,2024-04-27,9034,522,0.057865,550.0
IMP-C001-20240428,C001,2024-04-28,6568,196,0.029962,422.27
IMP-C001-20240429,C001,2024-04-29,6123,305,0.049841,550.0
IMP-C001-20240430,C001,2024-04-30,7456,506,0.067991,550.0
IMP-C001-20240501,C001,2024-05-01,6602,365,0.055352,550.0
IMP-C001-20240502,C001,2024-05-02,6336,286,0.045189,550.0
IMP-C001-20240503,C001,2024-05-03,4840,219,0.045368,505.76
IMP-C001-20240504,C001,2024-05-04,8176,485,0.059389,550.0
IMP-C001-20240505,C001,2024-05-05,4848,281,0.058085,550.0
IMP-C001-20240506,C001,2024-05-06,9284,305,0.032876,550.0
IMP-C001-20240507,C001,2024-05-07,5100,67,0.013142,134.15
IMP-C001-20240508,C001,2024-05-08,4861,229,0.047256,518.12
IMP-C001-20240509,C001,2024-05-09,8814,522,0.059256,550.0
IMP-C001-20240510,C001,2024-05-10,4652,243,0.052379,428.63
IMP-C001-20240511,C001,2024-05-11,8747,548,0.062692,550.0
IMP-C001-20240512,C001,2024-05-12,3430,224,0.065308,476.14
IMP-C001-20240513,C001,2024-05-13,7856,165,0.021084,326.73
IMP-C001-20240514,C001,2024-05-14,6007,274,0.045705,550.0
IMP-C001-20240515,C001,2024-05-15,6934,200,0.028986,423.46
IMP-C001-20240516,C001,2024-05-16,6180,325,0.052717,550.0
IMP-C001-20240517,C001,2024-05-17,4313,94,0.021988,239.07
IMP-C001-20240518,C001,2024-05-18,6498,219,0.033773,550.0
IMP-C001-20240519,C001,2024-05-19,6173,386,0.062689,550.0
IMP-C001-20240520,C001,2024-05-20,9091,648,0.07133,550.0
IMP-C001-20240521,C001,2024-05-21,7457,407,0.054681,550.0
IMP-C001-20240522,C001,2024-05-22,4552,251,0.055291,550.0
IMP-C001-20240523,C001,2024-05-23,3361,91,0.027251,140.89
IMP-C001-20240524,C001,2024-05-24,5595,311,0.055763,550.0
IMP-C001-20240525,C001,2024-05-25,6111,424,0.069429,550.0
IMP-C001-20240526,C001,2024-05-26,3444,152,0.044167,345.83
IMP-C001-20240527,C001,2024-05-27,5950,83,0.013988,177.06
IMP-C001-20240528,C001,2024-05-28,4043,222,0.055045,503.94
IMP-C001-20240529,C001,2024-05-29,4590,171,0.037292,315.02
IMP-C001-20240530,C001,2024-05-30,5905,350,0.059327,550.0
IMP-C001-20240531,C001,2024-05-31,6756,250,0.037046,480.53
IMP-C001-20240601,C001,2024-06-01,5839,172,0.029471,342.95
IMP-C001-20240602,C001,2024-06-02,4203,313,0.074471,550.0
IMP-C001-20240603,C001,2024-06-03,4950,238,0.04821,506.06
IMP-C001-20240604,C001,2024-06-04,5668,307,0.054213,550.0
IMP-C001-20240605,C001,2024-06-05,5204,189,0.036363,392.64
IMP-C001-20240606,C001,2024-06-06,2547,56,0.022272,143.92
IMP-C001-20240607,C001,2024-06-07,8467,349,0.041264,550.0
IMP-C001-20240608,C001,2024-06-08,6466,589,0.091183,550.0
IMP-C001-20240609,C001,2024-06-09,5808,178,0.030667,298.7
IMP-C001-20240610,C001,2024-06-10,6305,212,0.033655,367.46
IMP-C001-20240611,C001,2024-06-11,5030,144,0.028777,383.92
IMP-C001-20240612,C001,2024-06-12,7322,328,0.04488,550.0
IMP-C001-20240613,C001,2024-06-13,6116,196,0.032081,512.92
IMP-C001-20240614,C001,2024-06-14,6808,200,0.029441,420.58
IMP-C001-20240615,C001,2024-06-15,4686,113,0.024258,275.48
IMP-C001-20240616,C001,2024-06-16,8864,212,0.024021,493.72
IMP-C001-20240617,C001,2024-06-17,5024,189,0.037693,374.65
IMP-C001-20240618,C001,2024-06-18,4704,215,0.045728,410.8
IMP-C001-20240619,C001,2024-06-19,6405,283,0.044246,550.0
IMP-C001-20240620,C001,2024-06-20,4638,168,0.036348,400.95
IMP-C001-20240621,C001,2024-06-21,6751,204,0.030337,446.72
IMP-C001-20240622,C001,2024-06-22,7127,142,0.019959,329.87
IMP-C001-20240623,C001,2024-06-23,5006,268,0.053559,517.51
IMP-C001-20240624,C001,2024-06-24,3292,67,0.020587,145.69
IMP-C001-20240625,C001,2024-06-25,6389,200,0.031435,470.32
IMP-C001-20240626,C001,2024-06-26,3507,154,0.044009,276.69
IMP-C001-20240627,C001,2024-06-27,5022,229,0.045711,435.53
IMP-C001-20240628,C001,2024-06-28,5423,325,0.060094,550.0
IMP-C001-20240629,C001,2024-06-29,7253,203,0.028054,470.75
IMP-C001-20240630,C001,2024-06-30,8162,64,0.007925,122.94
IMP-C001-20240701,C001,2024-07-01,6865,288,0.041954,550.0
IMP-C001-20240702,C001,2024-07-02,5094,235,0.046299,496.62
IMP-C001-20240703,C001,2024-07-03,7751,378,0.048816,550.0
IMP-C001-20240704,C001,2024-07-04,5382,202,0.037686,410.11
IMP-C001-20240705,C001,2024-07-05,6591,254,0.038685,550.0
IMP-C001-20240706,C001,2024-07-06,9113,529,0.058067,550.0
IMP-C001-20240707,C001,2024-07-07,7801,303,0.038879,469.21
IMP-C001-20240708,C001,2024-07-08,4487,76,0.016938,156.15
IMP-C001-20240709,C001,2024-07-09,6027,422,0.070147,550.0
IMP-C001-20240710,C001,2024-07-10,5671,325,0.057441,486.41
IMP-C001-20240711,C001,2024-07-11,6353,359,0.056563,550.0
IMP-C001-20240712,C001,2024-07-12,7715,386,0.050077,550.0
IMP-C001-20240713,C001,2024-07-13,6949,549,0.07906,550.0
IMP-C001-20240714,C001,2024-07-14,6372,242,0.03811,461.02
IMP-C001-20240715,C001,2024-07-15,7245,232,0.032159,506.1
IMP-C001-20240716,C001,2024-07-16,5283,275,0.052185,550.0
IMP-C001-20240717,C001,2024-07-17,7556,282,0.03735,550.0
IMP-C001-20240718,C001,2024-07-18,4531,173,0.038336,393.26
IMP-C001-20240719,C001,2024-07-19,7135,222,0.031168,537.44
IMP-C001-20240720,C001,2024-07-20,8033,411,0.051202,550.0
IMP-C001-20240721,C001,2024-07-21,4839,127,0.02633,206.55
IMP-C001-20240722,C001,2024-07-22,8244,451,0.054815,550.0
IMP-C001-20240723,C001,2024-07-23,6419,180,0.028118,520.87
IMP-C001-20240724,C001,2024-07-24,6193,288,0.046641,550.0
IMP-C001-20240725,C001,2024-07-25,6721,325,0.048358,550.0
IMP-C001-20240726,C001,2024-07-26,6707,491,0.07323,550.0
IMP-C001-20240727,C001,2024-07-27,8389,313,0.037332,550.0
IMP-C001-20240728,C001,2024-07-28,5811,266,0.045836,550.0
IMP-C001-20240729,C001,2024-07-29,3461,235,0.067943,496.46
IMP-C001-20240730,C001,2024-07-30,5359,159,0.029818,264.5
IMP-C001-20240731,C001,2024-07-31,7234,333,0.0461,550.0
IMP-C001-20240801,C001,2024-08-01,4057,162,0.039963,431.03
IMP-C001-20240802,C001,2024-08-02,5610,125,0.022453,260.78
IMP-C001-20240803,C001,2024-08-03,5590,27,0.005,57.88
IMP-C001-20240804,C001,2024-08-04,5653,313,0.055443,550.0
IMP-C001-20240805,C001,2024-08-05,7689,314,0.040967,550.0
IMP-C001-20240806,C001,2024-08-06,9860,452,0.045888,550.0
IMP-C001-20240807,C001,2024-08-07,5963,286,0.047971,550.0
IMP-C001-20240808,C001,2024-08-08,5139,189,0.036797,406.38
IMP-C001-20240809,C001,2024-08-09,5184,177,0.034307,387.97
IMP-C001-20240810,C001,2024-08-10,5617,379,0.06756,517.22
IMP-C001-20240811,C001,2024-08-11,7637,486,0.063691,550.0
IMP-C001-20240812,C001,2024-08-12,5485,216,0.039428,375.35
IMP-C001-20240813,C001,2024-08-13,4833,136,0.028341,365.25
IMP-C001-20240814,C001,2024-08-14,7403,474,0.064073,550.0
IMP-C001-20240815,C001,2024-08-15,4306,159,0.037132,366.78
IMP-C001-20240816,C001,2024-08-16,4166,232,0.055695,484.39
IMP-C001-20240817,C001,2024-08-17,5437,302,0.055664,550.0
IMP-C001-20240818,C001,2024-08-18,5458,340,0.06239,550.0
IMP-C001-20240819,C001,2024-08-19,6923,373,0.053897,550.0
IMP-C001-20240820,C001,2024-08-20,6489,170,0.026233,414.33
IMP-C001-20240821,C001,2024-08-21,5722,212,0.037159,524.64
IMP-C001-20240822,C001,2024-08-22,4943,118,0.023873,199.78
IMP-C001-20240823,C001,2024-08-23,6909,178,0.025794,478.19
IMP-C001-20240824,C001,2024-08-24,2877,202,0.070447,449.11
IMP-C001-20240825,C001,2024-08-25,5854,215,0.036826,490.14
IMP-C001-20240826,C001,2024-08-26,5943,365,0.06155,550.0
IMP-C001-20240827,C001,2024-08-27,6225,246,0.039546,527.16
IMP-C001-20240828,C001,2024-08-28,6461,125,0.019347,219.44
IMP-C001-20240829,C001,2024-08-29,7114,338,0.047563,550.0
IMP-C001-20240830,C001,2024-08-30,6027,302,0.050214,550.0
IMP-C001-20240831,C001,2024-08-31,4832,231,0.047938,431.16
IMP-C001-20240901,C001,2024-09-01,6612,128,0.019461,316.0
IMP-C001-20240902,C001,2024-09-02,6708,327,0.04884,550.0
IMP-C001-20240903,C001,2024-09-03,8498,511,0.060216,550.0
IMP-C001-20240904,C001,2024-09-04,4080,145,0.035628,314.33
IMP-C001-20240905,C001,2024-09-05,6776,231,0.034114,511.9
IMP-C001-20240906,C001,2024-09-06,4866,174,0.035827,302.41
IMP-C001-20240907,C001,2024-09-07,4615,114,0.024725,212.87
IMP-C001-20240908,C001,2024-09-08,7580,233,0.030759,550.0
IMP-C001-20240909,C001,2024-09-09,6739,321,0.047773,550.0
IMP-C001-20240910,C001,2024-09-10,7050,256,0.036365,550.0
IMP-C001-20240911,C001,2024-09-11,9840,428,0.043559,550.0
IMP-C001-20240912,C001,2024-09-12,4945,219,0.044475,550.0
IMP-C001-20240913,C001,2024-09-13,5059,365,0.072187,550.0
IMP-C001-20240914,C001,2024-09-14,5156,280,0.054486,550.0
IMP-C001-20240915,C001,2024-09-15,6932,148,0.021447,287.4
IMP-C001-20240916,C001,2024-09-16,5628,246,0.043883,550.0
IMP-C001-20240917,C001,2024-09-17,6266,156,0.02497,354.75
IMP-C001-20240918,C001,2024-09-18,6915,369,0.053397,550.0
IMP-C001-20240919,C001,2024-09-19,7250,376,0.051888,550.0
IMP-C001-20240920,C001,2024-09-20,3508,180,0.051444,400.02
IMP-C001-20240921,C001,2024-09-21,6407,165,0.025849,302.89
IMP-C001-20240922,C001,2024-09-22,7579,336,0.044407,550.0
IMP-C001-20240923,C001,2024-09-23,6042,274,0.045446,550.0
IMP-C001-20240924,C001,2024-09-24,5225,242,0.046442,489.16
IMP-C001-20240925,C001,2024-09-25,5348,215,0.040362,478.73
IMP-C001-20240926,C001,2024-09-26,5281,337,0.063836,550.0
IMP-C001-20240927,C001,2024-09-27,5719,219,0.038404,550.0
IMP-C001-20240928,C001,2024-09-28,6294,380,0.060478,550.0
IMP-C001-20240929,C001,2024-09-29,6400,373,0.058344,550.0
IMP-C001-20240930,C001,2024-09-30,7598,282,0.037241,550.0
IMP-C001-20241001,C001,2024-10-01,9448,373,0.039557,550.0
IMP-C001-20241002,C001,2024-10-02,8180,561,0.068694,550.0
IMP-C001-20241003,C001,2024-10-03,5369,218,0.040773,382.95
IMP-C001-20241004,C001,2024-10-04,4622,138,0.029938,266.29
IMP-C001-20241005,C001,2024-10-05,5947,288,0.048513,550.0
IMP-C001-20241006,C001,2024-10-06,4502,269,0.059765,550.0
IMP-C001-20241007,C001,2024-10-07,5925,326,0.055122,550.0
IMP-C001-20241008,C001,2024-10-08,6573,312,0.047497,550.0
IMP-C001-20241009,C001,2024-10-09,6433,526,0.08183,550.0
IMP-C001-20241010,C001,2024-10-10,5203,185,0.035653,368.77
IMP-C001-20241011,C001,2024-10-11,5043,316,0.062835,550.0
IMP-C001-20241012,C001,2024-10-12,5143,167,0.032515,384.34
IMP-C001-20241013,C001,2024-10-13,5171,281,0.054494,550.0
IMP-C001-20241014,C001,2024-10-14,3726,254,0.068213,550.0
IMP-C001-20241015,C001,2024-10-15,5080,199,0.039184,446.91
IMP-C001-20241016,C001,2024-10-16,6501,356,0.054878,550.0
IMP-C001-20241017,C001,2024-10-17,5734,189,0.033026,330.03
IMP-C001-20241018,C001,2024-10-18,4903,218,0.044503,550.0
IMP-C001-20241019,C001,2024-10-19,5223,252,0.048357,543.08
IMP-C001-20241020,C001,2024-10-20,7782,645,0.082904,550.0
IMP-C001-20241021,C001,2024-10-21,5265,319,0.060662,550.0
IMP-C001-20241022,C001,2024-10-22,8770,471,0.053759,550.0
IMP-C001-20241023,C001,2024-10-23,6885,424,0.061631,550.0
IMP-C001-20241024,C001,2024-10-24,6760,412,0.061,550.0
IMP-C001-20241025,C001,2024-10-25,8073,441,0.054731,550.0
IMP-C001-20241026,C001,2024-10-26,6220,392,0.063098,550.0
IMP-C001-20241027,C001,2024-10-27,6553,256,0.0391,550.0
IMP-C001-20241028,C001,2024-10-28,7917,378,0.047866,550.0
IMP-C001-20241029,C001,2024-10-29,3960,222,0.056194,522.51
IMP-C001-20241030,C001,2024-10-30,9244,373,0.040383,550.0
IMP-C001-20241031,C001,2024-10-31,6374,437,0.068662,550.0
IMP-C001-20241101,C001,2024-11-01,8344,451,0.054118,550.0
IMP-C001-20241102,C001,2024-11-02,6929,331,0.047911,550.0
IMP-C001-20241103,C001,2024-11-03,5798,272,0.046995,530.39
IMP-C001-20241104,C001,2024-11-04,10130,224,0.022152,446.28
IMP-C001-20241105,C001,2024-11-05,8535,584,0.068483,550.0
IMP-C001-20241106,C001,2024-11-06,6717,491,0.073217,550.0
IMP-C001-20241107,C001,2024-11-07,3512,181,0.0516,363.7
IMP-C001-20241108,C001,2024-11-08,5808,323,0.055625,550.0
IMP-C001-20241109,C001,2024-11-09,6700,172,0.025795,416.54
IMP-C001-20241110,C001,2024-11-10,9067,394,0.043512,550.0
IMP-C001-20241111,C001,2024-11-11,5713,126,0.022117,246.01
IMP-C001-20241112,C001,2024-11-12,7711,375,0.04865,550.0
IMP-C001-20241113,C001,2024-11-13,8486,222,0.026227,550.0
IMP-C001-20241114,C001,2024-11-14,7639,471,0.061759,550.0
IMP-C001-20241115,C001,2024-11-15,8690,465,0.053547,550.0
IMP-C001-20241116,C001,2024-11-16,9053,587,0.064937,550.0
IMP-C001-20241117,C001,2024-11-17,9182,400,0.043654,550.0
IMP-C001-20241118,C001,2024-11-18,6481,466,0.072014,550.0
IMP-C001-20241119,C001,2024-11-19,5009,235,0.046922,459.59
IMP-C001-20241120,C001,2024-11-20,9439,332,0.035211,550.0
IMP-C001-20241121,C001,2024-11-21,4115,157,0.038215,224.96
IMP-C001-20241122,C001,2024-11-22,4711,265,0.056406,550.0
IMP-C001-20241123,C001,2024-11-23,8629,263,0.030495,550.0
IMP-C001-20241124,C001,2024-11-24,7792,215,0.027625,550.0
IMP-C001-20241125,C001,2024-11-25,9510,396,0.041686,550.0
IMP-C001-20241126,C001,2024-11-26,8206,117,0.014374,244.04
IMP-C001-20241127,C001,2024-11-27,6470,193,0.029976,400.6
IMP-C001-20241128,C001,2024-11-28,11305,617,0.054613,550.0
IMP-C001-20241129,C001,2024-11-29,8916,588,0.06599,550.0
IMP-C001-20241130,C001,2024-11-30,7916,279,0.035296,550.0
IMP-C001-20241201,C001,2024-12-01,8567,500,0.058428,550.0
IMP-C001-20241202,C001,2024-12-02,9846,364,0.036971,550.0
IMP-C001-20241203,C001,2024-12-03,8185,623,0.076129,550.0
IMP-C001-20241204,C001,2024-12-04,11185,536,0.047969,550.0
IMP-C001-20241205,C001,2024-12-05,6856,275,0.040195,550.0
IMP-C001-20241206,C001,2024-12-06,8819,320,0.036394,550.0
IMP-C001-20241207,C001,2024-12-07,11977,849,0.070913,550.0
IMP-C001-20241208,C001,2024-12-08,7874,368,0.0468,550.0
IMP-C001-20241209,C001,2024-12-09,5805,238,0.041139,394.94
IMP-C001-20241210,C001,2024-12-10,8578,469,0.054708,550.0
IMP-C001-20241211,C001,2024-12-11,10869,289,0.026614,497.28
IMP-C001-20241212,C001,2024-12-12,8237,500,0.060706,550.0
IMP-C001-20241213,C001,2024-12-13,6905,422,0.06118,550.0
IMP-C001-20241214,C001,2024-12-14,7463,434,0.058255,550.0
IMP-C001-20241215,C001,2024-12-15,4726,317,0.067148,550.0
IMP-C001-20241216,C001,2024-12-16,6580,335,0.050937,550.0
IMP-C001-20241217,C001,2024-12-17,8308,305,0.036745,550.0
IMP-C001-20241218,C001,2024-12-18,7750,485,0.062591,550.0
IMP-C001-20241219,C001,2024-12-19,7077,400,0.056575,522.17
IMP-C001-20241220,C001,2024-12-20,10040,189,0.018904,387.69
IMP-C001-20241221,C001,2024-12-21,5616,143,0.02558,358.68
IMP-C001-20241222,C001,2024-12-22,6887,345,0.050198,550.0
IMP-C001-20241223,C001,2024-12-23,8730,402,0.046152,550.0
IMP-C001-20241224,C001,2024-12-24,9742,366,0.037594,550.0
IMP-C001-20241225,C001,2024-12-25,6965,470,0.067511,550.0
IMP-C001-20241226,C001,2024-12-26,7120,283,0.039761,550.0
IMP-C001-20241227,C001,2024-12-27,11849,601,0.050729,550.0
IMP-C001-20241228,C001,2024-12-28,9809,476,0.048582,550.0
IMP-C001-20241229,C001,2024-12-29,7417,325,0.043926,550.0
IMP-C001-20241230,C001,2024-12-30,9218,421,0.045779,550.0
IMP-C001-20241231,C001,2024-12-31,7642,352,0.04618,549.31
IMP-C002-20240101,C002,2024-01-01,11799,592,0.050197,880.0
IMP-C002-20240102,C002,2024-01-02,2648,202,0.076326,427.86
IMP-C002-20240103,C002,2024-01-03,12259,360,0.029401,843.78
IMP-C002-20240104,C002,2024-01-04,7071,252,0.035643,689.02
IMP-C002-20240105,C002,2024-01-05,9142,441,0.048261,880.0
IMP-C002-20240106,C002,2024-01-06,10789,509,0.047256,880.0
IMP-C002-20240107,C002,2024-01-07,15368,678,0.044136,880.0
IMP-C002-20240108,C002,2024-01-08,12121,746,0.061583,880.0
IMP-C002-20240109,C002,2024-01-09,11132,310,0.027855,821.51
IMP-C002-20240110,C002,2024-01-10,6848,339,0.04954,655.53
IMP-C002-20240111,C002,2024-01-11,9446,471,0.049931,880.0
IMP-C002-20240112,C002,2024-01-12,10612,734,0.069206,880.0
IMP-C002-20240113,C002,2024-01-13,9014,535,0.059461,880.0
IMP-C002-20240114,C002,2024-01-14,6653,359,0.053961,850.96
IMP-C002-20240115,C002,2024-01-15,8885,583,0.065636,880.0
IMP-C002-20240116,C002,2024-01-16,9901,419,0.042404,880.0
IMP-C002-20240117,C002,2024-01-17,6968,163,0.023399,430.05
IMP-C002-20240118,C002,2024-01-18,7567,227,0.030129,343.67
IMP-C002-20240119,C002,2024-01-19,8066,202,0.025154,535.83
IMP-C002-20240120,C002,2024-01-20,12023,416,0.034678,880.0
IMP-C002-20240121,C002,2024-01-21,11956,479,0.040128,675.48
IMP-C002-20240122,C002,2024-01-22,15098,364,0.024156,606.56
IMP-C002-20240123,C002,2024-01-23,12054,983,0.081596,880.0
IMP-C002-20240124,C002,2024-01-24,10953,590,0.053921,880.0
IMP-C002-20240125,C002,2024-01-25,11421,562,0.049218,880.0
IMP-C002-20240126,C002,2024-01-26,9449,318,0.033691,660.1
IMP-C002-20240127,C002,2024-01-27,5536,240,0.043525,447.22
IMP-C002-20240128,C002,2024-01-28,6951,331,0.047698,853.19
IMP-C002-20240129,C002,2024-01-29,11803,253,0.021442,471.37
IMP-C002-20240130,C002,2024-01-30,11857,358,0.030263,749.15
IMP-C002-20240131,C002,2024-01-31,10920,332,0.030475,727.62
IMP-C002-20240201,C002,2024-02-01,6398,230,0.035979,518.86
