campaign_id,campaign_name,channel,campaign_type,date,impressions,clicks,ctr,spend_usd,sessions,orders,revenue_usd,session_cvr,click_cvr
C001,Google_Brand_Search,Google Ads,Search,2024-01-06,5156,153,0.029674,344.9,149,6,540.97,0.040268,0.039216
C002,Google_Nonbrand_Search,Google Ads,Search,2024-01-06,10789,509,0.047178,880.0,461,21,1935.8300000000002,0.045553,0.041257
C003,Google_Shopping_Q1,Google Ads,Shopping,2024-01-06,8288,482,0.058156,455.19,415,14,1308.82,0.033735,0.029046
C005,Facebook_Awareness,Facebook Ads,Awareness,2024-01-06,5034,106,0.021057,115.62,104,0,0.0,0.0,0.0
C006,Facebook_Conversion,Facebook Ads,Conversion,2024-01-06,7812,91,0.011649,177.87,80,4,347.21,0.05,0.043956
C008,Email_Newsletter_Monthly,Email,Newsletter,2024-01-06,631,20,0.031696,2.0,19,0,0.0,0.0,0.0
C010,Email_Abandoned_Cart,Email,Automation,2024-01-06,338,14,0.04142,1.4,13,3,234.79000000000002,0.230769,0.214286
C001,Google_Brand_Search,Google Ads,Search,2024-01-07,4637,110,0.023722,285.97,109,3,348.65,0.027523,0.027273
C002,Google_Nonbrand_Search,Google Ads,Search,2024-01-07,15368,678,0.044118,880.0,597,30,2961.7,0.050251,0.044248
C003,Google_Shopping_Q1,Google Ads,Shopping,2024-01-07,6353,311,0.048953,295.13,272,15,1493.5300000000004,0.055147,0.048232
C005,Facebook_Awareness,Facebook Ads,Awareness,2024-01-07,1761,48,0.027257,47.9,46,0,0.0,0.0,0.0
C006,Facebook_Conversion,Facebook Ads,Conversion,2024-01-07,6648,262,0.03941,516.44,251,10,783.86,0.039841,0.038168
C008,Email_Newsletter_Monthly,Email,Newsletter,2024-01-07,790,12,0.01519,1.2,10,0,0.0,0.0,0.0
C010,Email_Abandoned_Cart,Email,Automation,2024-01-07,372,12,0.032258,4.93,11,0,0.0,0.0,0.0
C001,Google_Brand_Search,Google Ads,Search,2024-01-08,5661,260,0.045928,450.47,236,11,870.86999999999989,0.04661,0.042308
