session_id,campaign_id,channel,session_date,session_ts,device,country,pages_viewed,session_duration_sec,is_bounce,engagement_tier,cleaned_at
S00032453,C001,Google Ads,2024-05-08,2024-05-08T14:21:33,Desktop,HK,4,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00086409,C001,Google Ads,2024-11-29,2024-11-29T23:53:40,Mobile,SG,1,10,1,Low,2026-03-20 07:22:11.930337 UTC
S00017426,C001,Google Ads,2024-03-12,2024-03-12T05:41:55,Desktop,SG,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00002090,C001,Google Ads,2024-01-10,2024-01-10T00:24:13,Mobile,HK,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00046719,C001,Google Ads,2024-07-09,2024-07-09T19:56:54,Mobile,HK,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00051452,C001,Google Ads,2024-07-26,2024-07-26T12:34:49,Tablet,SG,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00069967,C001,Google Ads,2024-10-07,2024-10-07T07:35:34,Desktop,HK,2,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00001134,C001,Google Ads,2024-01-04,2024-01-04T14:11:36,Desktop,TW,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00013654,C001,Google Ads,2024-02-27,2024-02-27T14:11:17,Desktop,TW,4,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00032354,C001,Google Ads,2024-05-08,2024-05-08T09:19:22,Mobile,AU,4,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00021554,C001,Google Ads,2024-03-26,2024-03-26T16:04:16,Tablet,SG,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00034511,C001,Google Ads,2024-05-16,2024-05-16T11:09:36,Desktop,HK,1,10,1,Low,2026-03-20 07:22:11.930337 UTC
S00080675,C001,Google Ads,2024-11-12,2024-11-12T20:36:27,Desktop,HK,2,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00085834,C001,Google Ads,2024-11-28,2024-11-28T10:14:10,Mobile,MY,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00005689,C001,Google Ads,2024-01-25,2024-01-25T00:30:30,Tablet,SG,4,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00052184,C001,Google Ads,2024-07-27,2024-07-27T05:51:43,Desktop,HK,2,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00085958,C001,Google Ads,2024-11-29,2024-11-29T14:05:14,Mobile,TW,1,10,1,Low,2026-03-20 07:22:11.930337 UTC
S00080565,C001,Google Ads,2024-11-11,2024-11-11T20:48:49,Desktop,MY,4,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00009612,C001,Google Ads,2024-02-09,2024-02-09T11:09:30,Mobile,HK,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00085984,C001,Google Ads,2024-11-29,2024-11-29T08:54:08,Desktop,HK,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00034740,C001,Google Ads,2024-05-16,2024-05-16T09:28:55,Mobile,AU,1,10,1,Low,2026-03-20 07:22:11.930337 UTC
S00000606,C001,Google Ads,2024-01-03,2024-01-03T03:08:19,Desktop,SG,6,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00066056,C001,Google Ads,2024-09-23,2024-09-23T06:17:44,Desktop,HK,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00006542,C001,Google Ads,2024-01-28,2024-01-28T08:30:01,Mobile,SG,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00047758,C001,Google Ads,2024-07-12,2024-07-12T17:17:19,Desktop,SG,1,10,1,Low,2026-03-20 07:22:11.930337 UTC
S00069346,C001,Google Ads,2024-10-05,2024-10-05T14:46:12,Desktop,TW,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00039751,C001,Google Ads,2024-06-07,2024-06-07T16:33:37,Mobile,HK,6,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00061120,C001,Google Ads,2024-09-03,2024-09-03T00:24:01,Desktop,SG,4,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00093965,C001,Google Ads,2024-12-19,2024-12-19T21:43:52,Mobile,AU,3,10,0,Low,2026-03-20 07:22:11.930337 UTC
S00011706,C001,Google Ads,2024-02-20,2024-02-20T11:07:56,Desktop,HK,5,10,0,Low,2026-03-20 07:22:11.930337 UTC
