order_id,session_id,campaign_id,channel,order_date,order_ts,order_value_usd,order_value_tier,device,country,cleaned_at
ORD-0000401,S00009308,C001,Google Ads,2024-02-08,2024-02-08T16:14:45,94.43,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0002865,S00071584,C001,Google Ads,2024-10-13,2024-10-13T13:16:38,140.95,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003764,S00094213,C001,Google Ads,2024-12-20,2024-12-20T14:36:47,69.99,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000019,S00000235,C001,Google Ads,2024-01-01,2024-01-01T08:31:16,87.98,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0002480,S00062117,C001,Google Ads,2024-09-08,2024-09-08T11:21:20,92.16,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003159,S00078412,C001,Google Ads,2024-11-04,2024-11-04T02:22:51,52.15,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0002980,S00074201,C001,Google Ads,2024-10-22,2024-10-22T15:55:52,87.07,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003582,S00089683,C001,Google Ads,2024-12-07,2024-12-07T01:37:34,90.63,Low Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0002317,S00057737,C001,Google Ads,2024-08-19,2024-08-19T21:39:41,61.29,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001383,S00034658,C001,Google Ads,2024-05-16,2024-05-16T11:16:49,25.63,Low Value,Tablet,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000934,S00022787,C001,Google Ads,2024-04-01,2024-04-01T02:43:29,157.38,Mid Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001306,S00032654,C001,Google Ads,2024-05-09,2024-05-09T19:17:01,84.29,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0003005,S00074722,C001,Google Ads,2024-10-24,2024-10-24T14:52:14,119.73,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001109,S00027382,C001,Google Ads,2024-04-19,2024-04-19T21:55:27,170.37,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0002121,S00052625,C001,Google Ads,2024-07-29,2024-07-29T07:31:22,141.97,Mid Value,Mobile,AU,2026-03-20 07:22:16.089165 UTC
ORD-0000734,S00017800,C001,Google Ads,2024-03-14,2024-03-14T09:37:03,84.5,Low Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
ORD-0001092,S00026890,C001,Google Ads,2024-04-17,2024-04-17T03:23:55,113.83,Mid Value,Desktop,AU,2026-03-20 07:22:16.089165 UTC
